label,pitch,pitch_v,roll,roll_v,time,x,x_v,y,y_v,yaw,yaw_v,z,z_v
Hold,-0.015278700000000001,0.00398885,-0.013535299999999998,0.00138791,1556060000.0,0.000628738,-0.0006706969999999999,-0.015383100000000002,0.00048914,-0.0982177,-0.00249308,-0.00583051,0.0007728619999999999
Hold,-0.0154542,-0.0021244,-0.013728,-0.002332,1556060000.0,0.000651715,0.000278049,-0.015383299999999999,-2.45914e-06,-0.0979039,0.00379661,-0.00581495,0.00018832400000000002
Hold,-0.015313499999999999,0.00167732,-0.0139654,-0.00282864,1556060000.0,0.000622465,-0.00034850800000000003,-0.0153713,0.00014342,-0.0980385,-0.00160387,-0.00577308,0.000498818
Hold,-0.0148154,0.00594673,-0.013295099999999999,0.00800223,1556060000.0,0.00054343,-0.000943571,-0.0152364,0.00160985,-0.0981081,-0.000830523,-0.00577734,-5.08371e-05
Hold,-0.013838499999999998,0.011737899999999999,-0.0138785,-0.00701024,1556060000.0,0.00035789800000000005,-0.00222947,-0.015305500000000001,-0.0008302730000000001,-0.0980133,0.00113941,-0.00579857,-0.000255119
Hold,-0.014888499999999999,-0.0126957,-0.0130652,0.00983463,1556060000.0,0.000543195,0.00224059,-0.0151708,0.00162948,-0.09767310000000001,0.00411323,-0.00581243,-0.000167629
Hold,-0.0153197,-0.00511353,-0.013556,-0.00582055,1556060000.0,0.0006022169999999999,0.000699925,-0.015284299999999999,-0.00134577,-0.09794630000000001,-0.00323953,-0.00583956,-0.00032168400000000003
Hold,-0.015591899999999999,-0.00326592,-0.014053799999999998,-0.00597182,1556060000.0,0.000644693,0.000509579,-0.0153994,-0.00138165,-0.0976125,0.0040037,-0.00580789,0.000379925
Hold,-0.014705700000000002,0.0106376,-0.0139497,0.00124912,1556060000.0,0.000518454,-0.0015152000000000002,-0.015404399999999999,-6.00893e-05,-0.0976059,7.92325e-05,-0.00582457,-0.00020015
Hold,-0.014880500000000001,-0.00212046,-0.013673500000000002,0.00334904,1556060000.0,0.000563977,0.0005520740000000001,-0.0153805,0.00029020799999999997,-0.0979553,-0.00423661,-0.00585233,-0.000336631
Hold,-0.015102899999999999,-0.00267779,-0.0142625,-0.00709095,1556060000.0,0.000602161,0.00045972,-0.015485800000000001,-0.0012673,-0.0976572,0.00358846,-0.00586432,-0.000144359
Hold,-0.014774100000000002,0.00394141,-0.0138031,0.00550589,1556060000.0,0.000556598,-0.000546068,-0.015411000000000001,0.000895582,-0.097893,-0.00282548,-0.00587635,-0.000144248
Hold,-0.013950899999999999,0.00986706,-0.0147215,-0.0110075,1556060000.0,0.000392329,-0.00196896,-0.015502000000000002,-0.0010904999999999999,-0.098367,-0.00568117,-0.0058501000000000004,0.000314615
Hold,-0.014977200000000001,-0.012268799999999998,-0.0136936,0.0122862,1556060000.0,0.000602056,0.00250699,-0.0153197,0.00217971,-0.09808919999999999,0.00331993,-0.00583773,0.00014795
Hold,-0.014769,0.00248038,-0.013006499999999999,0.008187100000000001,1556060000.0,0.000560068,-0.0005002569999999999,-0.0151467,0.00206097,-0.0982898,-0.00238969,-0.00584206,-5.16867e-05
