z,xv,yv,zv,label
-0.0047452,-0.002125,-0.00041439,5.0805e-05,1
-0.0047375,0.00034339,-0.00052356,9.6764e-05,1
-0.0047646,0.00060708,5.8808e-05,-0.00031899,1
-0.0047858,-0.00042068,-0.00031038,-0.00025762,1
-0.0047789,-0.00018244,-0.00084474,8.1638e-05,1
-0.0047682,-0.0010067,-0.00057545,0.0001272,1
-0.0047524,0.00077567,0.00059146,0.00019089,1
-0.0047344,-0.00053659,-0.00084078,0.00021478,1
-0.0047123,-8.9354e-05,0.0016034,0.0002633,1
-0.0046899,0.0012291,0.00026566,0.00027234,1
-0.0046816,-0.00077095,-0.0011955,9.9021e-05,1
-0.004678,0.00014813,0.0010184,4.3111e-05,1
-0.0046627,0.0020728,0.00067035,0.00018317,1
-0.0046664,-0.0016335,3.3599e-05,-4.5595e-05,1
-0.0046831,-0.00041705,-0.0017217,-0.00019925,1
-0.0047072,0.00010873,6.9867e-05,-0.00029028,1
-0.0047433,0.00079643,0.00049782,-0.00043429,1
-0.0047382,-0.00059727,-0.0011002,6.1948e-05,1
-0.0047433,0.0013633,0.0015899,-6.3032e-05,1
-0.0047257,-0.0016155,-0.00083365,0.00020892,1
-0.0047303,0.00052034,0.00033335,-5.5348e-05,1
-0.0047123,-3.8072e-05,0.00015487,0.00021747,1
-0.0047311,0.00031153,0.00077632,-0.00022316,1
-0.0047402,0.00010875,-0.00078555,-0.00010899,1
-0.0047678,-0.0025132,-0.00038981,-0.00032926,1
-0.0047499,0.0012611,-0.00038154,0.00021513,1
-0.0047749,0.00019882,0.00040686,-0.00029964,1
-0.0048006,-7.7941e-05,0.00023766,-0.00030818,1
-0.0047955,0.0015244,0.00051046,6.1277e-05,1
-0.0047767,-0.00014719,-0.00020685,0.0002267,1
-0.0047146,-0.0020168,-0.00076357,0.00075316,1
-0.0046746,-8.4911e-05,0.00019792,0.00047489,1
-0.0046312,8.295e-05,8.1292e-06,0.00051981,1
-0.0046482,0.00066535,-4.8014e-05,-0.00020658,1
-0.0046744,0.00062174,0.0016842,-0.0003117,1
-0.0046986,-0.00053991,-0.0017994,-0.00028961,1
-0.0047319,0.00042304,0.00020609,-0.00039783,1
-0.004725,-0.002006,-0.00047566,8.3047e-05,1
-0.0047224,-0.00052054,0.00026811,3.1783e-05,1
-0.0047189,0.002151,0.00025863,4.1179e-05,1
-0.0046907,-0.00036535,2.805e-05,0.00033704,1
-0.0047289,0.00051188,0.00087767,-0.00045955,1
-0.0047325,0.00096357,0.00079104,-4.334e-05,1
-0.0047534,-0.0006202,-0.0011289,-0.00024824,1
-0.004735,0.00036274,0.00083847,0.00022546,1
-0.0047095,-0.0017924,-0.00052135,0.00030646,1
-0.0046996,0.0012216,-0.00032486,0.00011621,1
-0.00474,-0.00021878,3.8702e-06,-0.00048642,1
-0.0047779,0.00088623,0.00073571,-0.00045185,1
-0.004746,6.6104e-05,-0.0010578,0.00038457,1
-0.0047325,-0.0010468,-0.00025284,0.00016476,1
-0.0046945,0.00036763,0.00035959,0.00045292,1
-0.0046844,0.00035055,0.00056831,0.00012064,1
-0.004631,-0.00031424,0.00024185,0.00063709,1
-0.0046491,0.00037827,0.00032851,-0.00021989,1
-0.0046482,-0.0013619,-0.00033984,1.0422e-05,1
-0.0046679,-0.00029352,-9.9591e-05,-0.00023529,1
-0.0046625,0.0017598,0.00073065,6.4602e-05,1
-0.0046347,-0.0016124,-0.00089889,0.00033362,1
-0.0046377,0.0010375,0.00011338,-3.616e-05,1
-0.0046427,-0.000176,-0.0014926,-6.1089e-05,1
-0.0046614,0.0010936,0.0015834,-0.00022002,1
-0.00467,-0.0023721,-0.00042429,-0.00010264,1
-0.0047223,0.0022513,0.0010025,-0.0006282,1
-0.0047046,-0.0012287,-0.0007817,0.00021171,1
-0.0046841,0.00026271,-0.0003645,0.00024678,1
-0.0046817,0.0020158,0.0013721,2.8904e-05,1
-0.0046647,-0.0022052,-0.0015502,0.00020301,1
-0.0046818,0.00073394,0.00016347,-0.00020727,1
-0.004703,-0.00034918,0.00019559,-0.00025333,1
-0.0047062,1.1541e-05,0.00074534,-3.8325e-05,1
-0.0047025,4.6408e-05,-0.00054303,4.4157e-05,1
-0.00468,-9.6911e-05,-5.8031e-05,0.00027116,1
-0.0046536,-0.00032294,-0.00025038,0.00031886,1
-0.004634,-0.0012625,-0.00073994,0.00023703,1
-0.0046331,-2.4129e-05,-7.8019e-06,-9.78e-08,1
-0.0046353,-0.0016419,0.00019632,-2.5921e-05,1
-0.0046431,0.0022517,0.00095759,-9.4576e-05,1
-0.0046249,-0.0015341,-0.0011035,0.00021711,1
-0.004624,-0.00022946,0.00022235,1.0892e-05,1
-0.0046273,0.00072964,-9.2371e-05,-4.0101e-05,1
-0.0046315,-0.00059828,-0.00047919,-5.1616e-05,1
-0.0046152,-0.00022377,0.00015047,0.00019349,1
-0.0046599,2.0147e-05,0.00043645,-0.00053765,1
-0.0046467,0.00025892,-0.00055209,0.00015787,1
-0.0046937,0.0016979,0.00076164,-0.00056461,1
-0.004682,-0.0022792,-0.0010329,0.00014014,1
-0.0046841,0.001121,0.0010378,-2.5895e-05,1
-0.004689,-0.00045832,0.00020687,-5.8741e-05,1
-0.004678,-7.6254e-05,-0.00010016,0.00013334,1
-0.0046781,0.0019234,0.0012253,-9.4056e-07,1
-0.0047015,-0.0022894,-0.0017633,-0.0002818,1
-0.0047042,0.0011439,0.00061609,-3.2544e-05,1
