40,-1.0949,-0.78255,-101.42,0.41038,-0.37064,-0.049956,-112,22,-973,1,1.8112,10286,10287,0.30578,0.13987,0.17091
41,-1.0279,-0.88853,-101.42,0.33328,-0.44623,-0.011696,-109,22,-971,1,1.846,10287,10287,0.3102,0.19926,0.11121
42,-0.97506,-1.0048,-101.41,0.31916,-0.48315,-0.029375,-106,21,-969,1,1.9604,10286,10286,0.33529,0.2343,0.10272
43,-0.92057,-1.1392,-101.42,0.35391,-0.50495,-0.052268,-102,21,-970,1,2.1452,10287,10286,0.38023,0.25771,0.12799
44,-0.84954,-1.2786,-101.43,0.3856,-0.45054,-0.073438,-99,20,-971,1,2.3565,10289,10288,0.35167,0.20838,0.15408
45,-0.77897,-1.3978,-101.43,0.32632,-0.38915,-0.0084103,-96,19,-973,1,2.5607,10291,10289,0.25792,0.15151,0.10656
46,-0.71629,-1.4965,-101.42,0.27679,-0.3518,0.054134,-94,19,-975,1,2.7525,10289,10287,0.20037,0.12669,0.079542
47,-0.65895,-1.5818,-101.41,0.2466,-0.28482,0.055718,-91,19,-978,1,2.9364,10286,10284,0.14193,0.084225,0.063917
48,-0.85188,-0.63407,-113.04,-0.33402,-0.17391,0.17167,-3,26,-989,2,1.1277,12778,12778,0.14181,0.059715,0.14104
49,-0.6185,-1.6546,-101.39,0.18256,-0.24503,0.083825,-88,19,-980,1,3.1201,10282,10280,0.093369,0.067067,0.040356
50,0.0043655,14.847,-101.19,-0.0019077,0.053622,0.056384,244,0,-970,0,220.44,10460,10239,0.0028789,0.0060545,0.0031828
51,-0.58138,-1.7219,-101.37,0.17644,-0.20989,0.073803,-86,18,-981,1,3.303,10279,10276,0.075186,0.049502,0.036578
52,-0.55336,-1.7672,-101.35,0.082217,-0.13858,0.083786,-84,18,-983,1,3.4291,10275,10272,0.025964,0.026225,0.01378
53,-0.54791,-1.7979,-101.33,0.017515,-0.085115,0.095453,-82,18,-986,1,3.5327,10271,10268,0.0075513,0.016356,0.009418
54,-0.55491,-1.8298,-101.31,0.017339,-0.10495,0.064856,-80,18,-986,1,3.6562,10267,10264,0.011315,0.015221,0.0045069
55,-0.56867,-1.8608,-101.3,0.024014,-0.099069,0.040996,-78,18,-987,1,3.7861,10265,10261,0.010391,0.011495,0.0022573
56,-0.58498,-1.8949,-101.29,0.051263,-0.092647,0.016657,-77,17,-987,1,3.9327,10263,10260,0.011211,0.0088609,0.0029053
57,-0.58089,-1.9223,-101.29,0.096162,-0.039167,-0.0014499,-75,17,-988,1,4.0326,10264,10261,0.010781,0.0015362,0.0092493
58,-0.56628,-1.9369,-101.3,0.13159,0.0073668,0.0014198,-73,17,-989,1,4.0723,10266,10262,0.01737,5.6286e-05,0.017318
59,-0.93953,-0.6858,-113.01,-0.25555,-0.2268,0.1173,-1,26,-988,2,1.353,12771,12772,0.11674,0.065195,0.079062
